Location,2019,2020,2021
World,7714577,7795482,7875465
Africa,1320039,1352622,1385655
Eastern Africa,445447,457440,469614
Burundi,11576,11939,12305
Comoros,851,870,888
Djibouti,986,1000,1014
Eritrea,5310,5432,5555
Ethiopia,110136,112759,115403
Kenya,52215,53492,54781
Madagascar,26970,27691,28426
Malawi,19719,20284,20859
Mauritius,1271,1274,1276
Mayotte,266,273,280
Mozambique,31409,32309,33230
Réunion,890,897,903
Rwanda,12794,13087,13379
Seychelles,96,96,96
Somalia,15636,16105,16589
South Sudan,13263,13610,13960
Uganda,45712,47188,48698
United Republic of Tanzania,60914,62775,64674
Zambia,18137,18679,19235
Zimbabwe,17297,17680,18060
Middle Africa,173693,178959,184337
Angola,31788,32827,33894
Cameroon,25313,25958,26614
Central African Republic,4826,4921,5023
Chad,15814,16285,16766
Congo,5542,5687,5834
Democratic Republic of the Congo,86728,89505,92336
Equatorial Guinea,1360,1406,1452
Gabon,2109,2151,2194
Sao Tome and Principe,213,218,223
Northern Africa,241933,246049,250127
Algeria,42679,43333,43969
Egypt,101169,102941,104692
Libya,6570,6662,6746
Morocco,36635,37071,37498
Sudan,42514,43541,44592
Tunisia,11783,11903,12019
Western Sahara,582,597,612
Southern Africa,66790,67595,68388
Botswana,2375,2416,2456
Lesotho,2293,2322,2352
Namibia,2642,2697,2751
South Africa,58065,58721,59366
Swaziland,1415,1439,1463
Western Africa,392176,402579,413189
Benin,11802,12123,12450
Burkina Faso,20322,20903,21497
Cabo Verde,560,567,574
Côte d'Ivoire,25531,26172,26828
Gambia,2228,2293,2360
Ghana,30097,30734,31374
Guinea,13398,13751,14110
Guinea-Bissau,1954,2001,2048
Liberia,4978,5104,5232
Mali,19689,20284,20893
Mauritania,4661,4784,4908
Niger,23177,24075,25006
Nigeria,200962,206153,211447
Saint Helena,4,4,4
Senegal,16744,17200,17663
Sierra Leone,7883,8047,8211
Togo,8186,8384,8585
Asia,4584807,4623454,4661038
Eastern Asia,1659041,1663619,1667591
China,1420062,1424548,1428481
Hong Kong SAR,7491,7548,7598
Macao SAR,642,652,662
Taiwan Province of China,23758,23818,23873
Dem. People's Republic of Korea,25727,25841,25951
Japan,126855,126496,126109
Mongolia,3166,3209,3251
Republic of Korea,51339,51507,51667
South-Central Asia,1986522,2009437,2032047
Central Asia,72854,73821,74761
Kazakhstan,18593,18777,18957
Kyrgyzstan,6219,6302,6382
Tajikistan,9292,9475,9657
Turkmenistan,5943,6031,6117
Uzbekistan,32807,33236,33649
Southern Asia,1913668,1935616,1957286
Afghanistan,37209,38055,38914
Bangladesh,168066,169775,171500
Bhutan,826,835,844
India,1368738,1383198,1397423
Iran (Islamic Republic of),82821,83587,84308
Maldives,452,459,466
Nepal,29942,30260,30578
Pakistan,204596,208362,212107
Sri Lanka,21019,21084,21146
South-Eastern Asia,662375,669016,675556
Brunei Darussalam,439,445,450
Cambodia,16483,16716,16944
Indonesia,269536,272223,274854
Lao People's Democratic Republic,7064,7165,7262
Malaysia,32454,32869,33289
Myanmar,54336,54808,55269
Philippines,108106,109703,111303
Singapore,5868,5935,5992
Thailand,69306,69411,69498
Timor-Leste,1352,1381,1411
Viet Nam,97429,98360,99284
Western Asia,276869,281382,285844
Armenia,2937,2939,2940
Azerbaijan,10015,10100,10179
Bahrain,1638,1698,1744
Cyprus,1198,1207,1216
Georgia,3904,3899,3889
Iraq,40412,41503,42612
Israel,8584,8714,8842
Jordan,10070,10209,10320
Kuwait,4249,4303,4361
Lebanon,6066,6020,5957
Oman,5002,5150,5270
Qatar,2744,2792,2840
Saudi Arabia,34141,34710,35263
State of Palestine,5187,5323,5460
Syrian Arab Republic,18499,18924,19586
Turkey,82962,83836,84515
United Arab Emirates,9682,9813,9937
Yemen,29580,30245,30911
Europe,743103,743390,743496
Eastern Europe,291392,290776,290105
Belarus,9434,9415,9397
Bulgaria,6989,6941,6892
Czechia,10631,10633,10634
Hungary,9655,9621,9586
Poland,38028,37942,37847
Republic of Moldova,4030,4018,4005
Romania,19483,19388,19295
Russian Federation,143896,143787,143637
Slovakia,5451,5451,5451
Ukraine,43795,43579,43361
Northern Europe,105319,105863,106395
Channel Islands,167,168,168
Denmark,5775,5797,5819
Estonia,1304,1301,1297
Faeroe Islands,50,50,50
Finland,5561,5580,5599
Iceland,341,343,346
Ireland,4847,4888,4926
Isle of Man,85,86,86
Latvia,1911,1893,1876
Lithuania,2864,2852,2840
Norway,5401,5450,5500
Sweden,10053,10122,10188
United Kingdom,66959,67334,67699
Southern Europe,151728,151553,151331
Albania,2938,2942,2945
Andorra,77,77,77
Bosnia and Herzegovina,3502,3498,3492
Croatia,4140,4116,4092
Gibraltar,35,35,35
Greece,11125,11103,11075
Holy See,1,1,1
Italy,59217,59132,59038
Malta,433,434,435
Montenegro,629,629,629
Portugal,10255,10218,10183
San Marino,34,34,34
Serbia,8733,8704,8673
Slovenia,2082,2082,2082
Spain,46441,46459,46450
TFYR Macedonia,2087,2088,2089
Western Europe,194664,195197,195666
Austria,8766,8782,8801
Belgium,11563,11620,11669
France,65481,65721,65955
Germany,82439,82540,82591
Liechtenstein,38,39,39
Luxembourg,597,604,611
Monaco,39,39,39
Netherlands,17133,17181,17230
Switzerland,8608,8671,8731
Latin America and the Caribbean,658306,664474,670511
Caribbean,44420,44679,44933
Anguilla,15,15,15
Antigua and Barbuda,104,105,106
Aruba,106,106,107
Bahamas,403,407,411
Barbados,287,288,288
British Virgin Islands,32,33,33
Caribbean Netherlands,26,26,26
Cayman Islands,63,64,65
Cuba,11492,11495,11500
Curaçao,163,163,164
Dominica,75,75,75
Dominican Republic,10997,11108,11218
Grenada,109,109,110
Guadeloupe,449,448,448
Haiti,11243,11371,11498
Jamaica,2906,2913,2919
Martinique,385,385,385
Montserrat,5,5,5
Puerto Rico,3655,3651,3646
Saint Kitts and Nevis,56,57,57
Saint Lucia,180,181,182
Saint Vincent and the Grenadines,110,111,111
Sint Maarten (Dutch part),41,41,42
Trinidad and Tobago,1375,1378,1379
Turks and Caicos Islands,36,37,37
United States Virgin Islands,105,105,105
Central America,181887,184127,186335
Belize,390,398,406
Costa Rica,4999,5044,5088
El Salvador,6445,6479,6512
Guatemala,17578,17911,18244
Honduras,9569,9719,9869
Mexico,132328,133870,135384
Nicaragua,6351,6417,6481
Panama,4226,4289,4352
South America,431998,435667,439242
Argentina,45102,45510,45914
Bolivia (Plurinational State of),11380,11544,11708
Brazil,212393,213863,215278
Chile,18337,18473,18605
Colombia,49850,50220,50576
Ecuador,17100,17336,17569
Falkland Islands (Malvinas),3,3,3
French Guiana,297,304,311
Guyana,787,791,795
Paraguay,6982,7066,7150
Peru,32934,33312,33686
Suriname,573,578,582
Uruguay,3482,3494,3506
Venezuela (Bolivarian Republic of),32780,33172,33558
Northern America,366497,369159,371831
Bermuda,61,61,60
Canada,37280,37603,37924
Greenland,57,57,57
Saint Pierre and Miquelon,6,6,6
US,329093,331432,333783
Oceania,41826,42384,42933
Australia/New Zealand,29881,30233,30576
Australia,25089,25398,25700
New Zealand,4792,4834,4876
Melanesia,10712,10909,11106
Fiji,919,925,931
New Caledonia,283,287,290
Papua New Guinea,8587,8756,8926
Solomon Islands,635,647,659
Vanuatu,288,294,300
Micronesia,537,541,546
Guam,167,169,170
Kiribati,120,122,124
Marshall Islands,53,53,53
Micronesia (Fed. States of),107,108,109
Nauru,11,11,11
